source,target,type
doc:docs/factory-reset.md,roadmap:014,documents
doc:docs/onboarding-tutorials.md,roadmap:014,documents
doc:docs/settings-import-export.md,roadmap:014,documents
doc:docs/support-bundles.md,roadmap:014,documents
doc:docs/themes-accessibility.md,roadmap:014,documents
doc:docs/user,roadmap:014,documents
doc:docs/windows-app-shell.md,roadmap:014,documents
doc:docs/workspace-profiles.md,roadmap:014,documents
roadmap:015,roadmap:015,follows_on
doc:docs/live-readiness-pilot-design.md,roadmap:015,documents
doc:docs/local-dashboard.md,roadmap:015,documents
doc:docs/long-running-paper-sessions.md,roadmap:015,documents
doc:docs/operator-workflow.md,roadmap:015,documents
doc:docs/replay-compare-evidence.md,roadmap:015,documents
doc:docs/scanner-research-workflow.md,roadmap:015,documents
roadmap:001,roadmap:023,follows_on
roadmap:002,roadmap:023,follows_on
roadmap:003,roadmap:023,follows_on
roadmap:004,roadmap:023,follows_on
roadmap:023,roadmap:023,follows_on
roadmap:023,module:src/binance\_spot\_bot/ui,implements
roadmap:023,module:src/binance\_spot\_bot/ui/chart\_registry.py,implements
roadmap:023,module:src/binance\_spot\_bot/ui/components.py,implements
roadmap:023,module:src/binance\_spot\_bot/ui/session\_state\_keys.py,implements
roadmap:023,module:src/binance\_spot\_bot/ui/streamlit\_app.py,implements
roadmap:023,"module:src/binance\_spot\_bot/ui/streamlit\_app.py""",implements
test:tests/test\_streamlit\_dashboard\_keys.py,roadmap:023,validates
test:tests/test_roadmap_023_dashboard_stability.py,roadmap:023,validates
test:tests/test_roadmap_024_dashboard_architecture.py,roadmap:023,validates
doc:docs/dashboard-troubleshooting-streamlit.md,roadmap:023,documents
doc:docs/python-version-support.md,roadmap:023,documents
doc:docs/streamlit-widget-audit.md,roadmap:023,documents
doc:docs/streamlit-widget-key-convention.md,roadmap:023,documents
roadmap:001,roadmap:024,follows_on
roadmap:002,roadmap:024,follows_on
roadmap:003,roadmap:024,follows_on
roadmap:004,roadmap:024,follows_on
roadmap:024,roadmap:024,follows_on
roadmap:024,module:src/binance\_spot\_bot/ui/chart\_registry.py,implements
roadmap:024,module:src/binance\_spot\_bot/ui/components/,implements
roadmap:024,module:src/binance\_spot\_bot/ui/components/\_\_init\_\_.py,implements
roadmap:024,module:src/binance\_spot\_bot/ui/components/charts.py,implements
roadmap:024,module:src/binance\_spot\_bot/ui/error\_boundary.py,implements
roadmap:024,module:src/binance\_spot\_bot/ui/page\_context.py,implements
roadmap:024,module:src/binance\_spot\_bot/ui/page\_registry.py,implements
roadmap:024,module:src/binance\_spot\_bot/ui/pages/,implements
roadmap:024,module:src/binance\_spot\_bot/ui/pages/\_\_init\_\_.py,implements
roadmap:024,module:src/binance\_spot\_bot/ui/pages/bot\_controls.py,implements
roadmap:024,module:src/binance\_spot\_bot/ui/pages/credentials\_profile.py,implements
roadmap:024,module:src/binance\_spot\_bot/ui/pages/demo\_pilot.py,implements
roadmap:024,module:src/binance\_spot\_bot/ui/pages/demo\_spot\_trading.py,implements
roadmap:024,module:src/binance\_spot\_bot/ui/pages/evaluation.py,implements
roadmap:024,module:src/binance\_spot\_bot/ui/pages/logs\_security.py,implements
roadmap:024,module:src/binance\_spot\_bot/ui/pages/market\_data.py,implements
roadmap:024,module:src/binance\_spot\_bot/ui/pages/orders\_account.py,implements
roadmap:024,module:src/binance\_spot\_bot/ui/pages/overview.py,implements
roadmap:024,module:src/binance\_spot\_bot/ui/pages/portfolio.py,implements
roadmap:024,module:src/binance\_spot\_bot/ui/pages/readiness.py,implements
roadmap:024,module:src/binance\_spot\_bot/ui/pages/research.py,implements
roadmap:024,module:src/binance\_spot\_bot/ui/pages/risk\_controls.py,implements
roadmap:024,module:src/binance\_spot\_bot/ui/pages/sessions.py,implements
roadmap:024,module:src/binance\_spot\_bot/ui/pages/strategy\_lab.py,implements
roadmap:024,module:src/binance\_spot\_bot/ui/pages/strategy\_model.py,implements
roadmap:024,module:src/binance\_spot\_bot/ui/performance.py,implements
roadmap:024,module:src/binance\_spot\_bot/ui/streamlit\_app.py,implements
test:tests/fixtures/dashboard/,roadmap:024,validates
test:tests/test\_chart\_registry.py,roadmap:024,validates
test:tests/test\_dashboard\_architecture.py,roadmap:024,validates
test:tests/test\_page\_registry.py,roadmap:024,validates
test:tests/test\_streamlit\_widget\_keys.py,roadmap:024,validates
test:tests/test_roadmap_023_dashboard_stability.py,roadmap:024,validates
test:tests/test_roadmap_024_dashboard_architecture.py,roadmap:024,validates
test:tests/visual/,roadmap:024,validates
doc:docs/dashboard-accessibility.md,roadmap:024,documents
doc:docs/dashboard-architecture-contract.md,roadmap:024,documents
doc:docs/dashboard-component-architecture.md,roadmap:024,documents
doc:docs/dashboard-performance-budgets.md,roadmap:024,documents
doc:docs/dashboard-smoke-tests.md,roadmap:024,documents
doc:docs/dashboard-troubleshooting.md,roadmap:024,documents
doc:docs/dashboard-visual-regression.md,roadmap:024,documents
roadmap:001,roadmap:025,follows_on
roadmap:002,roadmap:025,follows_on
roadmap:003,roadmap:025,follows_on
roadmap:004,roadmap:025,follows_on
roadmap:025,roadmap:025,follows_on
test:tests/test_roadmap_025_dashboard_browser_smoke.py,roadmap:025,validates
test:tests/test_roadmap_025_operator_evidence.py,roadmap:025,validates
doc:docs/dashboard-operator-evidence.md,roadmap:025,documents
doc:docs/dashboard-smoke-tests.md,roadmap:025,documents
doc:docs/dashboard-visual-regression.md,roadmap:025,documents
doc:docs/operator-workflow.md,roadmap:025,documents
roadmap:001,roadmap:026,follows_on
roadmap:002,roadmap:026,follows_on
roadmap:003,roadmap:026,follows_on
roadmap:004,roadmap:026,follows_on
roadmap:026,roadmap:026,follows_on
roadmap:026,module:src/binance_spot_bot/demo_execution_sandbox.py,implements
test:tests/test_roadmap_026_demo_execution_cli.py,roadmap:026,validates
test:tests/test_roadmap_026_demo_execution_dashboard.py,roadmap:026,validates
test:tests/test_roadmap_026_demo_execution_sandbox.py,roadmap:026,validates
doc:docs/dashboard-operator-evidence.md,roadmap:026,documents
doc:docs/demo-execution-sandbox.md,roadmap:026,documents
doc:docs/demo-order-lifecycle-drill.md,roadmap:026,documents
doc:docs/operator-workflow.md,roadmap:026,documents
doc:docs/security-runbook.md,roadmap:026,documents
roadmap:001,roadmap:027,follows_on
roadmap:002,roadmap:027,follows_on
roadmap:003,roadmap:027,follows_on
roadmap:004,roadmap:027,follows_on
roadmap:027,roadmap:027,follows_on
roadmap:027,module:src/binance_spot_bot/evidence_scorecard.py,implements
test:tests/test_roadmap_027_evidence_scorecard.py,roadmap:027,validates
test:tests/test_roadmap_027_scorecard_cli_dashboard.py,roadmap:027,validates
doc:docs/dashboard-operator-evidence.md,roadmap:027,documents
doc:docs/evidence-scorecards.md,roadmap:027,documents
doc:docs/live-readiness-checklist.md,roadmap:027,documents
doc:docs/operator-workflow.md,roadmap:027,documents
roadmap:001,roadmap:028,follows_on
roadmap:002,roadmap:028,follows_on
roadmap:003,roadmap:028,follows_on
roadmap:004,roadmap:028,follows_on
roadmap:028,roadmap:028,follows_on
roadmap:028,module:src/binance_spot_bot/demo_acceptance_rehearsal.py,implements
test:tests/test_roadmap_028_demo_acceptance_rehearsal.py,roadmap:028,validates
test:tests/test_roadmap_028_rehearsal_cli_dashboard.py,roadmap:028,validates
doc:docs/dashboard-smoke-tests.md,roadmap:028,documents
